company,ticker,MRR_1K_USD_nov_2021,MRR_1K_USD_nov_2020,employees_total_dec_2021,employees_total_dec_2020,employees_sales_dec_2021,employees_sales_growth_1y,employees_bd_dec_2021,employees_bd_growth_1y,employees_support_dec_2021,employees_support_growth_1y,employees_engineering_dec_2021,employees_engineering_growth_1y,linkedin_followers,page_visits_nov_2021_thousands,bounce_rate,channel_direct,channel_search,channel_social,search_paid,social_linkedin
Alteryx,AYX,41167,43239,2037,1594,662,0.16,147,0.13,149,0.78,420,0.21,174693,738.3,0.5930,0.2968,0.6309,0.0110,0.1121,0.4418
"Anaplan, Inc.",PLAN,51783,38292,2292,1938,507,0.06,412,0.17,177,0.05,486,0.38,169322,864.4,0.2665,0.5094,0.2424,0.0494,0.0362,0.2993
"AppFolio, Inc.",APPF,31936,28029,1448,1229,281,0.19,118,0.18,227,0.04,296,0.07,22730,14100.0,0.3066,0.8299,0.0219,0.0082,0.1044,0.0000
"BlackLine, Inc.",BL,36467,30052,1479,1237,336,0.18,224,0.13,94,0.38,205,0.21,79301,765.0,0.2821,0.4445,0.1436,0.0981,0.0967,0.0762
"C3.ai, Inc.",AI,17468,13780,729,542,66,0.15,63,0.16,18,0.00,397,0.42,48329,415.8,0.6991,0.3908,0.4070,0.1022,0.0000,0.8609
Ceridian HCM Holding Inc,CDAY,85733,68133,6482,5930,695,0.07,501,0.07,568,0.07,865,0.21,93004,570.0,0.4439,0.5212,0.3776,0.0069,0.0856,0.6071
Cloudera Inc,CLDR,78700,72633,3085,2821,447,0.09,213,0.07,335,-0.06,1235,0.11,204364,1100.0,0.5677,0.2430,0.6820,0.0086,0.0093,0.2230
CrowdStrike Holdings Inc,CRWD,112563,77487,4270,3093,1351,0.34,523,0.51,109,0.00,940,0.46,249471,1600.0,0.4039,0.6554,0.2104,0.0108,0.0942,0.2917
"Datadog, Inc",DDOG,90162,51658,3135,2230,927,0.39,184,0.09,160,0.22,1258,0.47,100460,3600.0,0.3146,0.5923,0.2195,0.0540,0.1657,0.3218
"DocuSign, Inc",DOCU,170614,127641,7486,5676,2628,0.45,965,0.26,687,0.17,1454,0.32,257716,29500.0,0.2985,0.3777,0.1716,0.0300,0.1963,0.2669
Duck Creek Technologies Inc,DCT,23618,19440,1638,1432,84,-0.07,162,0.12,65,0.42,555,0.16,28791,0.0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
Dynatrace Inc,DT,75451,52557,3305,2602,856,0.33,308,0.26,299,0.47,898,0.25,84943,1300.0,0.4041,0.3881,0.3582,0.0377,0.2729,0.1468
Everbridge Inc,EVBG,32249,23752,1540,1331,410,0.09,178,0.23,56,0.15,350,0.15,32513,205.9,0.4916,0.6147,0.2843,0.0441,0.0951,0.5360
EverCommerce Inc,EVCM,42844,29717,1422,1235,231,0.16,179,0.10,184,-0.02,185,0.16,5111,0.0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
"HubSpot, Inc",HUBS,113065,76128,6776,4881,1463,0.35,693,0.25,1271,0.33,1271,0.38,659206,37000.0,0.3905,0.4686,0.3481,0.0214,0.0089,0.3924
Medallia Inc,MDLA,48036,40319,2634,1952,612,0.68,342,0.19,235,0.33,641,0.25,87748,29900.0,0.4303,0.8607,0.0169,0.0025,0.0585,0.0934
Mimecast Limited,MIME,49104,40897,1860,1873,509,-0.02,206,-0.20,170,0.04,410,0.07,68140,10900.0,0.5783,0.9009,0.0429,0.0072,0.0925,0.0917
Monday.Com Ltd,MNDY,27672,14197,1075,754,222,0.57,122,0.53,160,0.51,137,0.33,81295,22000.0,0.2977,0.8665,0.0678,0.0171,0.3438,0.1309
"Okta, Inc",OKTA,105167,72460,4852,3491,1079,0.26,507,0.44,364,0.37,1060,0.37,191852,131400.0,0.3409,0.4491,0.0639,0.0283,0.0110,0.2111
Olo Inc,OLO,12463,9168,734,547,42,0.61,66,0.52,83,0.37,231,0.39,10539,3000.0,0.5779,0.4818,0.0445,0.0049,0.0618,0.0786
"Pagerduty, Inc",PD,22512,17924,1011,815,241,0.36,117,0.52,96,0.17,237,0.20,26634,1800.0,0.3902,0.8620,0.0843,0.0056,0.0771,0.1283
Paycom Software Inc,PAYC,85398,65511,4416,3780,786,0.18,179,0.09,397,0.03,740,0.20,132902,2800.0,0.8287,0.7827,0.2064,0.0011,0.1200,0.1628
Proofpoint Inc,PFPT,102884,88890,3826,3657,1363,0.05,265,0.32,282,0.02,911,0.03,79343,8700.0,0.7253,0.7080,0.1809,0.0126,0.0337,0.1840
"Q2 Holdings, Inc",QTWO,42245,34601,1942,1731,173,0.28,167,0.09,51,0.00,565,0.18,29980,0.0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
Qualtrics International,XM,90544,58688,4602,3567,1449,0.23,435,0.26,431,0.38,1072,0.34,170895,74100.0,0.7043,0.6336,0.0440,0.0348,0.0593,0.0551
Smartsheet,SMAR,43912,32977,2614,2061,647,0.33,393,0.26,261,0.14,488,0.22,67825,18700.0,0.3622,0.7744,0.1529,0.0062,0.0811,0.1559
Snowflake Inc,SNOW,90732,53208,3805,2491,1364,0.40,353,0.34,149,0.93,980,0.71,352354,2500.0,0.6134,0.2562,0.5945,0.0479,0.0328,0.8027
Splunk Inc,SPLK,201914,186190,8122,7022,2461,0.09,790,0.21,475,0.22,2326,0.23,398862,1600.0,0.4591,0.3635,0.5500,0.0180,0.0441,0.4198
Workday Inc,WDAY,442421,368653,15686,13585,1550,0.14,1538,0.10,979,0.27,4953,0.12,575934,3300.0,0.4204,0.5490,0.2810,0.0207,0.0688,0.4338
